,prev_date,curr_date,ticker,prev_value,curr_value,change_pct
0,2017-02-28,2017-03-01,a,50.9543,51.689316,0.0144250043667
1,2017-02-28,2017-03-01,b,49.755959,51.503525,0.03512274781
2,2017-02-28,2017-03-01,c,59.121586,60.831673,0.028924917542
3,2017-02-28,2017-03-01,d,74.760201,74.142754,-0.00825903343946
4,2017-02-28,2017-03-01,f,12.056902,12.21086,0.0127692835191
5,2017-02-28,2017-03-01,g,24.029652,24.138699,0.00453801827842
6,2017-02-28,2017-03-01,l,46.794998,47.631687,0.0178798810933
7,2017-02-28,2017-03-01,m,31.273815,31.01963,-0.00812772602255
8,2017-02-28,2017-03-01,p,12.38,12.54,0.0129240710824
9,2017-02-28,2017-03-01,s,8.81,8.84,0.00340522133939
10,2017-02-28,2017-03-01,w,37.810001,37.880001,0.00185136202456
11,2017-03-01,2017-03-02,a,51.689316,51.033764,-0.012682543526
12,2017-03-01,2017-03-02,b,51.503525,50.470875,-0.0200500839506
13,2017-03-01,2017-03-02,c,60.831673,59.932144,-0.014787181671
14,2017-03-01,2017-03-02,d,74.142754,75.085945,0.012721283593
15,2017-03-01,2017-03-02,f,12.21086,12.181993,-0.00236404315503
16,2017-03-01,2017-03-02,g,24.138699,24.08913,-0.00205350752333
17,2017-03-01,2017-03-02,l,47.631687,47.063931,-0.0119197121866
18,2017-03-01,2017-03-02,m,31.01963,31.273815,0.00819432726954
19,2017-03-01,2017-03-02,p,12.54,12.43,-0.00877192982456
20,2017-03-01,2017-03-02,s,8.84,8.73,-0.012443438914
21,2017-03-01,2017-03-02,w,37.880001,37.23,-0.0171594768437
22,2017-03-02,2017-03-03,a,51.033764,51.629719,0.0116776610873
23,2017-03-02,2017-03-03,b,50.470875,50.172989,-0.0059021366283
24,2017-03-02,2017-03-03,c,59.932144,60.297886,0.00610260163561
25,2017-03-02,2017-03-03,d,75.085945,74.444176,-0.00854712556391
26,2017-03-02,2017-03-03,f,12.181993,12.172371,-0.000789854336642
27,2017-03-02,2017-03-03,g,24.08913,24.059393,-0.00123445720124
28,2017-03-02,2017-03-03,l,47.063931,47.492241,0.00910059977778
29,2017-03-02,2017-03-03,m,31.273815,29.908762,-0.0436484324026
30,2017-03-02,2017-03-03,p,12.43,12.75,0.0257441673371
31,2017-03-02,2017-03-03,s,8.73,8.9,0.0194730813288
32,2017-03-02,2017-03-03,w,37.23,36.369999,-0.0230996776793
33,2017-03-03,2017-03-06,a,51.629719,50.904636,-0.0140439075409
34,2017-03-03,2017-03-06,b,50.172989,50.163059,-0.000197915256753
35,2017-03-03,2017-03-06,c,60.297886,59.58617,-0.0118033325414
36,2017-03-03,2017-03-06,d,74.444176,74.133026,-0.00417964193734
37,2017-03-03,2017-03-06,f,12.172371,12.047279,-0.0102767160153
38,2017-03-03,2017-03-06,g,24.059393,23.841301,-0.00906473409367
39,2017-03-03,2017-03-06,l,47.492241,47.322906,-0.00356552978833
40,2017-03-03,2017-03-06,m,29.908762,28.892033,-0.033994352558
41,2017-03-03,2017-03-06,p,12.75,12.47,-0.0219607843137
42,2017-03-03,2017-03-06,s,8.9,8.78,-0.0134831460674
43,2017-03-03,2017-03-06,w,36.369999,35.799999,-0.0156722577859
44,2017-03-06,2017-03-07,a,50.904636,50.864906,-0.000780479011774
45,2017-03-06,2017-03-07,b,50.163059,49.944611,-0.00435475834917
46,2017-03-06,2017-03-07,c,59.58617,59.803642,0.00364970596365
47,2017-03-06,2017-03-07,d,74.133026,74.016342,-0.00157398134537
48,2017-03-06,2017-03-07,f,12.047279,11.989545,-0.00479228546131
49,2017-03-06,2017-03-07,g,23.841301,23.761993,-0.0033264963183
50,2017-03-06,2017-03-07,l,47.322906,47.263149,-0.00126275000948
51,2017-03-06,2017-03-07,m,28.892033,29.005003,0.00391007444855
52,2017-03-06,2017-03-07,p,12.47,11.66,-0.064955894146
53,2017-03-06,2017-03-07,s,8.78,8.3,-0.0546697038724
54,2017-03-06,2017-03-07,w,35.799999,35.779999,-0.000558659233482
55,2017-03-07,2017-03-08,a,50.864906,51.06356,0.00390552181498
56,2017-03-07,2017-03-08,b,49.944611,49.418362,-0.0105366522927
57,2017-03-07,2017-03-08,c,59.803642,60.406624,0.0100826969702
58,2017-03-07,2017-03-08,d,74.016342,73.053703,-0.0130057629706
59,2017-03-07,2017-03-08,f,11.989545,12.056902,0.00561797799666
60,2017-03-07,2017-03-08,g,23.761993,23.980633,0.00920124839697
61,2017-03-07,2017-03-08,l,47.263149,47.073895,-0.00400426133265
62,2017-03-07,2017-03-08,m,29.005003,29.908762,0.0311587280305
63,2017-03-07,2017-03-08,p,11.66,11.73,0.00600343053173
64,2017-03-07,2017-03-08,s,8.3,8.41,0.0132530120482
65,2017-03-07,2017-03-08,w,35.779999,35.919998,0.00391277260796
66,2017-03-08,2017-03-09,a,51.06356,51.083427,0.000389064138889
67,2017-03-08,2017-03-09,b,49.418362,48.743164,-0.0136628972041
68,2017-03-08,2017-03-09,c,60.406624,60.841557,0.00720008785791
69,2017-03-08,2017-03-09,d,73.053703,72.830055,-0.00306141907687
70,2017-03-08,2017-03-09,f,12.056902,12.028034,-0.00239431323237
71,2017-03-08,2017-03-09,g,23.980633,23.811686,-0.00704514347057
72,2017-03-08,2017-03-09,l,47.073895,46.954365,-0.00253919927382
73,2017-03-08,2017-03-09,m,29.908762,29.682821,-0.00755434143346
74,2017-03-08,2017-03-09,p,11.73,11.93,0.0170502983802
75,2017-03-08,2017-03-09,s,8.41,8.31,-0.0118906064209
76,2017-03-08,2017-03-09,w,35.919998,36.139999,0.00612474978423
77,2017-03-09,2017-03-10,a,51.083427,51.798573,0.0139995697626
78,2017-03-09,2017-03-10,b,48.743164,49.031116,0.00590753608034
79,2017-03-09,2017-03-10,c,60.841557,60.782249,-0.000974794251238
80,2017-03-09,2017-03-10,d,72.830055,73.578781,0.0102804535847
81,2017-03-09,2017-03-10,f,12.028034,12.056902,0.00240005972713
82,2017-03-09,2017-03-10,g,23.811686,23.821623,0.00041731610269
83,2017-03-09,2017-03-10,l,46.954365,47.014133,0.00127289550183
84,2017-03-09,2017-03-10,m,29.682821,29.871103,0.00634313025706
85,2017-03-09,2017-03-10,p,11.93,12.13,0.0167644593462
86,2017-03-09,2017-03-10,s,8.31,8.28,-0.00361010830325
87,2017-03-09,2017-03-10,w,36.139999,36.099998,-0.001106834563
88,2017-03-10,2017-03-13,a,51.798573,52.096554,0.00575268743407
89,2017-03-10,2017-03-13,b,49.031116,49.209846,0.00364523622102
90,2017-03-10,2017-03-13,c,60.782249,60.821789,0.000650518871061
91,2017-03-10,2017-03-13,d,73.578781,73.987175,0.00555043172025
92,2017-03-10,2017-03-13,f,12.056902,12.066525,0.000798132057472
93,2017-03-10,2017-03-13,g,23.821623,23.672552,-0.00625780199779
94,2017-03-10,2017-03-13,l,47.014133,46.964333,-0.00105925594757
