,a,b,c,d,f,g,l,m,p,portfolioreturn,portfoliostandarddeviation,s,w,returnoverrisk
0,0.026,0.0195,0.03,0.03,0.0145,0.037,0.021,0.0135,0.015,0.0373050909031,0.00210743052099,0.0355,0.028,17.7016943294
1,0.0485,0.0285,0.044,0.0425,0.03,0.016,0.0225,0.0385,0.0175,0.0442841994946,0.00267464116029,0.041,0.038,16.557061991
2,0.0365,0.0185,0.021,0.013,0.014,0.048,0.0445,0.0235,0.0205,0.0431509965139,0.0026978988892,0.03,0.038,15.9942971498
3,0.025,0.043,0.025,0.0115,0.0425,0.013,0.0215,0.0145,0.031,0.032150464571,0.00211831986886,0.022,0.024,15.1773417431
4,0.0425,0.0345,0.03,0.0145,0.0205,0.036,0.0215,0.012,0.0105,0.0627508287681,0.00265400151466,0.041,0.046,23.6438556728
5,0.0245,0.0495,0.0365,0.0195,0.0355,0.0345,0.044,0.011,0.0115,0.0513150817458,0.00243894255207,0.0235,0.025,21.0398894809
6,0.035,0.0485,0.015,0.0475,0.011,0.018,0.0465,0.0115,0.033,0.0295397065798,0.00268388497097,0.042,0.0165,11.0063236314
7,0.031,0.011,0.041,0.0235,0.0105,0.015,0.0375,0.041,0.02,0.0247550771028,0.00256664094728,0.0415,0.031,9.64493188229
8,0.0405,0.045,0.014,0.0415,0.0165,0.019,0.024,0.0405,0.0205,0.0388233455252,0.00210357491756,0.016,0.031,18.4558891633
9,0.029,0.04,0.02,0.046,0.0155,0.0375,0.019,0.0455,0.01,0.0390283795433,0.00229664665903,0.0375,0.0315,16.9936369575
10,0.0395,0.034,0.0465,0.025,0.0145,0.023,0.0105,0.032,0.0355,0.0328998731914,0.00228640986962,0.024,0.025,14.3893155941
11,0.0125,0.011,0.046,0.0435,0.0145,0.017,0.0425,0.0195,0.0425,0.036112856163,0.00275310399277,0.012,0.047,13.1171420541
12,0.0445,0.0135,0.02,0.027,0.0295,0.0495,0.035,0.025,0.0495,0.0134800971216,0.00294708749041,0.044,0.017,4.57404035864
13,0.0475,0.0245,0.0465,0.015,0.0155,0.0495,0.039,0.0355,0.039,0.0431286788642,0.00311761342556,0.031,0.0375,13.8338764231
