Date,a,s
2017-02-28,50.9543,8.81
2017-03-01,51.689316,8.84
2017-03-02,51.033764,8.73
2017-03-03,51.629719,8.9
2017-03-06,50.904636,8.78
2017-03-07,50.864906,8.3
2017-03-08,51.06356,8.41
2017-03-09,51.083427,8.31
2017-03-10,51.798573,8.28
2017-03-13,52.096554,8.48
2017-03-14,51.85817,8.37
2017-03-15,53.735432,8.66
2017-03-16,52.692505,8.61
2017-03-17,52.950756,8.57
2017-03-20,52.791832,8.5
2017-03-21,52.305134,8.28
2017-03-22,52.771969,8.27
2017-03-23,52.821632,8.46
2017-03-24,52.722309,8.5
2017-03-27,52.881229,8.29
2017-03-28,53.07988,8.33
2017-03-29,52.762035,8.48
2017-03-30,52.960686,8.52
2017-03-31,52.644047,8.68
2017-04-03,52.972641,8.67
2017-04-04,52.395115,8.68
2017-04-05,52.48473,8.41
2017-04-06,52.922855,8.39
2017-04-07,52.614174,8.37
2017-04-10,52.49469,8.36
2017-04-11,52.604221,8.32
2017-04-12,52.325413,8.34
2017-04-13,52.106358,8.28
2017-04-17,53.231525,8.4
2017-04-18,52.803364,8.5
2017-04-19,52.843193,8.57
2017-04-20,52.902935,8.58
2017-04-21,53.042339,8.5
2017-04-24,54.207336,8.71
2017-04-25,54.57576,8.95
2017-04-26,54.595673,8.91
2017-04-27,55.193104,9.03
2017-04-28,54.814732,9.03
2017-05-01,55.561527,9.11
2017-05-02,55.690971,9.07
2017-05-03,55.919987,7.77
2017-05-04,56.45768,7.94
2017-05-05,56.397938,8.04
2017-05-08,56.079304,7.76
2017-05-09,56.626953,7.9
2017-05-10,56.029518,7.88
2017-05-11,55.989685,7.87
2017-05-12,55.919987,7.95
2017-05-15,56.45768,7.88
2017-05-16,56.587128,7.94
2017-05-17,55.531654,7.34
2017-05-18,55.611313,7.89
2017-05-19,55.890118,8.07
2017-05-22,55.840332,8.17
2017-05-23,58.409302,8.18
2017-05-24,58.976868,8.17
2017-05-25,59.046566,8.33
2017-05-26,59.255669,8.4
2017-05-30,60.111996,8.44
2017-05-31,60.082123,8.49
2017-06-01,60.470455,8.55
2017-06-02,60.550114,8.87
2017-06-05,60.141869,8.96
2017-06-06,59.843147,8.78
2017-06-07,60.370884,8.64
2017-06-08,59.892937,8.6
2017-06-09,58.956951,8.12
2017-06-12,58.737896,8.21
2017-06-13,59.026653,8.26
2017-06-14,59.126225,8.14
2017-06-15,58.956951,8.06
2017-06-16,59.255669,7.8
2017-06-19,60.291225,7.93
2017-06-20,60.072166,8.14
2017-06-21,59.534477,8.21
2017-06-22,60.350971,8.07
2017-06-23,59.514557,8.05
2017-06-26,58.986828,8.01
2017-06-27,58.628365,8.18
2017-06-28,59.146141,8.28
2017-06-29,58.679104,8.15
2017-06-30,59.188057,8.21
2017-07-03,59.008427,8.15
2017-07-05,59.64711,8.23
2017-07-06,59.09824,8.04
2017-07-07,59.507397,8.13
2017-07-10,59.736923,8.23
2017-07-11,59.677048,8.14
2017-07-12,60.605133,8.23
2017-07-13,61.06419,8.2
2017-07-14,61.393513,8.55
2017-07-17,61.42345,8.39
2017-07-18,61.084148,8.45
2017-07-19,61.253799,8.41
2017-07-20,60.854622,8.38
2017-07-21,61.24382,8.53
2017-07-24,61.37355,8.54
2017-07-25,60.415527,8.7
2017-07-26,59.597214,8.55
2017-07-27,59.786819,8.2
2017-07-28,59.956474,8.22
2017-07-31,59.667068,7.98
2017-08-01,59.816757,8.87
2017-08-02,60.076225,8.79
2017-08-03,60.245876,8.54
2017-08-04,60.006371,8.7
2017-08-07,60.744846,8.62
2017-08-08,60.016346,8.4
2017-08-09,59.557293,8.22
2017-08-10,58.449577,8.03
2017-08-11,59.208015,8.31
2017-08-14,59.497417,8.41
2017-08-15,59.257912,8.3
2017-08-16,62.012238,8.3
2017-08-17,60.734867,8.09
2017-08-18,61.124065,8.07
2017-08-21,61.61306,8.08
2017-08-22,62.830551,8.22
2017-08-23,62.640942,8.29
2017-08-24,62.551125,8.42
2017-08-25,62.770676,8.43
2017-08-28,63.329521,8.29
2017-08-29,63.359463,8.27
2017-08-30,63.76862,8.25
2017-08-31,64.586929,8.25
2017-09-01,64.247627,8.27
2017-09-05,64.157814,8.18
2017-09-06,64.57695,8.13
2017-09-07,65.006065,7.97
2017-09-08,64.886314,7.74
2017-09-11,65.974075,7.61
2017-09-12,66.004013,7.9
2017-09-13,65.30545,7.85
2017-09-14,65.54496,7.75
2017-09-15,65.824379,7.69
2017-09-18,65.944138,7.68
2017-09-19,66.033951,8.2
2017-09-20,65.954109,8.03
2017-09-21,65.784462,8.03
2017-09-22,65.644753,8.52
2017-09-25,64.596916,7.82
2017-09-26,63.978188,7.89
2017-09-27,64.257607,7.85
2017-09-28,63.848454,7.75
2017-09-29,64.068001,7.78
