Date,a,s
2017-02-28,51.299999,8.81
2017-03-01,52.040001,8.84
2017-03-02,51.380001,8.73
2017-03-03,51.98,8.9
2017-03-06,51.25,8.78
2017-03-07,51.209999,8.3
2017-03-08,51.41,8.41
2017-03-09,51.43,8.31
2017-03-10,52.150002,8.28
2017-03-13,52.450001,8.48
2017-03-14,52.209999,8.37
2017-03-15,54.099998,8.66
2017-03-16,53.049999,8.61
2017-03-17,53.310001,8.57
2017-03-20,53.150002,8.5
2017-03-21,52.66,8.28
2017-03-22,53.130001,8.27
2017-03-23,53.18,8.46
2017-03-24,53.080002,8.5
2017-03-27,53.240002,8.29
2017-03-28,53.439999,8.33
2017-03-29,53.119999,8.48
2017-03-30,53.32,8.52
2017-03-31,52.869999,8.68
2017-04-03,53.200001,8.67
2017-04-04,52.619999,8.68
2017-04-05,52.709999,8.41
2017-04-06,53.150002,8.39
2017-04-07,52.84,8.37
2017-04-10,52.720001,8.36
2017-04-11,52.830002,8.32
2017-04-12,52.549999,8.34
2017-04-13,52.330002,8.28
2017-04-17,53.459999,8.4
2017-04-18,53.029999,8.5
2017-04-19,53.07,8.57
2017-04-20,53.130001,8.58
2017-04-21,53.27,8.5
2017-04-24,54.439999,8.71
2017-04-25,54.810001,8.95
2017-04-26,54.830002,8.91
2017-04-27,55.43,9.03
2017-04-28,55.049999,9.03
2017-05-01,55.799999,9.11
2017-05-02,55.93,9.07
2017-05-03,56.16,7.77
2017-05-04,56.700001,7.94
2017-05-05,56.639999,8.04
2017-05-08,56.32,7.76
2017-05-09,56.869999,7.9
2017-05-10,56.27,7.88
2017-05-11,56.23,7.87
2017-05-12,56.16,7.95
2017-05-15,56.700001,7.88
2017-05-16,56.830002,7.94
2017-05-17,55.77,7.34
2017-05-18,55.849998,7.89
2017-05-19,56.130001,8.07
2017-05-22,56.080002,8.17
2017-05-23,58.66,8.18
2017-05-24,59.23,8.17
2017-05-25,59.299999,8.33
2017-05-26,59.509998,8.4
2017-05-30,60.369999,8.44
2017-05-31,60.34,8.49
2017-06-01,60.73,8.55
2017-06-02,60.810001,8.87
2017-06-05,60.400002,8.96
2017-06-06,60.099998,8.78
2017-06-07,60.630001,8.64
2017-06-08,60.150002,8.6
2017-06-09,59.209999,8.12
2017-06-12,58.990002,8.21
2017-06-13,59.279999,8.26
2017-06-14,59.380001,8.14
2017-06-15,59.209999,8.06
2017-06-16,59.509998,7.8
2017-06-19,60.549999,7.93
2017-06-20,60.330002,8.14
2017-06-21,59.790001,8.21
2017-06-22,60.610001,8.07
2017-06-23,59.77,8.05
2017-06-26,59.240002,8.01
2017-06-27,58.880001,8.18
2017-06-28,59.400002,8.28
2017-06-29,58.799999,8.15
2017-06-30,59.310001,8.21
2017-07-03,59.130001,8.15
2017-07-05,59.77,8.23
2017-07-06,59.220001,8.04
2017-07-07,59.630001,8.13
2017-07-10,59.860001,8.23
2017-07-11,59.799999,8.14
2017-07-12,60.73,8.23
2017-07-13,61.189999,8.2
2017-07-14,61.52,8.55
2017-07-17,61.549999,8.39
2017-07-18,61.209999,8.45
2017-07-19,61.380001,8.41
2017-07-20,60.98,8.38
2017-07-21,61.369999,8.53
2017-07-24,61.5,8.54
2017-07-25,60.540001,8.7
2017-07-26,59.720001,8.55
2017-07-27,59.91,8.2
2017-07-28,60.080002,8.22
2017-07-31,59.790001,7.98
2017-08-01,59.939999,8.87
2017-08-02,60.200001,8.79
2017-08-03,60.369999,8.54
2017-08-04,60.130001,8.7
2017-08-07,60.869999,8.62
2017-08-08,60.139999,8.4
2017-08-09,59.68,8.22
2017-08-10,58.57,8.03
2017-08-11,59.330002,8.31
2017-08-14,59.619999,8.41
2017-08-15,59.380001,8.3
2017-08-16,62.139999,8.3
2017-08-17,60.860001,8.09
2017-08-18,61.25,8.07
2017-08-21,61.740002,8.08
2017-08-22,62.959999,8.22
2017-08-23,62.77,8.29
2017-08-24,62.68,8.42
2017-08-25,62.900002,8.43
2017-08-28,63.459999,8.29
2017-08-29,63.490002,8.27
2017-08-30,63.900002,8.25
2017-08-31,64.720001,8.25
2017-09-01,64.379997,8.27
2017-09-05,64.290001,8.18
2017-09-06,64.709999,8.13
2017-09-07,65.139999,7.97
2017-09-08,65.019997,7.74
2017-09-11,66.110001,7.61
2017-09-12,66.139999,7.9
2017-09-13,65.440002,7.85
2017-09-14,65.68,7.75
2017-09-15,65.959999,7.69
2017-09-18,66.080002,7.68
2017-09-19,66.169998,8.2
2017-09-20,66.089996,8.03
2017-09-21,65.919998,8.03
2017-09-22,65.779999,8.52
2017-09-25,64.730003,7.82
2017-09-26,64.110001,7.89
2017-09-27,64.389999,7.85
2017-09-28,63.98,7.75
2017-09-29,64.199997,7.78
