Date,AAL,ADM,AES,AGN,ALKS
2017-02-28,46.06588,45.885738,11.150914,242.345657,56.5
2017-03-01,46.791245,45.436356,10.986362,242.810898,59.709999
2017-03-02,45.429939,44.43013,11.25739,242.484238,61.16
2017-03-03,46.522957,44.156593,11.179953,243.147461,60.970001
2017-03-06,45.022541,43.726746,11.150914,239.910522,60.200001
2017-03-07,44.555523,43.433674,10.967001,237.178421,58.799999
2017-03-08,44.605202,42.974525,10.715331,237.02002,57.400002
2017-03-09,43.055103,43.394596,10.705652,237.752533,57.080002
2017-03-10,43.621487,44.00029,10.792768,238.712738,57.220001
2017-03-13,42.101185,43.668137,10.666934,238.217804,55.549999
2017-03-14,40.948551,43.638824,10.647574,237.029922,55.66
2017-03-15,41.822968,43.970978,10.947642,238.237595,57.619999
2017-03-16,41.862713,43.814671,10.937963,237.000229,58.98
2017-03-17,41.455318,43.687675,11.092837,234.98085,59.310001
2017-03-20,41.435444,43.814671,10.841166,234.555176,59.68
2017-03-21,40.163563,43.912365,10.937963,232.179459,57.360001
2017-03-22,40.094006,44.557129,10.792768,231.625107,59.43
2017-03-23,41.147282,44.557129,10.821808,232.911972,58.68
2017-03-24,41.465248,44.527824,10.870205,234.931351,58.880001
2017-03-27,41.475189,44.303131,10.77341,236.960632,59.349998
2017-03-28,42.329731,44.664589,10.947642,238.099014,59.380001
2017-03-29,41.69379,45.172585,10.889565,238.900833,59.75
2017-03-30,42.270111,45.045586,10.725012,237.376373,58.939999
2017-03-31,42.031631,44.9772,10.821808,236.505264,58.5
2017-04-03,42.180683,44.742744,10.831487,235.277817,57.419998
2017-04-04,40.640518,44.361744,10.908925,236.020218,58.75
2017-04-05,41.047916,44.215206,10.802448,235.366898,57.720001
2017-04-06,41.455318,44.205441,10.802448,235.931137,57.540001
2017-04-07,41.544746,43.853745,10.686293,236.435989,58.689999
2017-04-10,42.05151,43.951443,10.792768,237.693146,58.169998
2017-04-11,43.651295,43.511829,10.947642,236.693359,56.98
2017-04-12,43.681103,43.619289,11.00572,235.4263,56.950001
2017-04-13,43.074966,43.257832,10.996039,235.4263,57.16
2017-04-17,43.949394,43.648594,11.063799,233.743469,56.84
2017-04-18,43.532055,44.361744,11.044438,232.011185,55.900002
2017-04-19,44.118313,43.570442,11.00572,233.951355,56.450001
2017-04-20,44.933109,43.863522,11.054118,235.535187,56.73
2017-04-21,44.863556,43.775597,11.0154,233.961273,56.57
2017-04-24,46.145367,44.332439,11.218672,234.584885,56.73
2017-04-25,46.314289,44.527824,11.247711,235.812363,57.0
2017-04-26,46.105621,44.224976,11.083157,237.079437,57.130001
2017-04-27,43.700977,44.723202,11.044028,240.593536,56.299999
2017-04-28,42.349606,44.693897,11.063593,241.395355,58.25
2017-05-01,41.813034,44.674355,11.063593,242.751511,59.34
2017-05-02,43.591675,40.708076,11.053811,243.018784,58.509998
2017-05-03,43.641354,40.356392,10.946207,241.296356,58.900002
2017-05-04,43.63142,41.42123,10.848386,242.771317,60.41
2017-05-05,44.227612,41.450535,11.073375,242.464432,59.689999
2017-05-08,44.654888,41.968296,11.063593,239.504654,57.200001
2017-05-09,46.781307,41.382153,11.092938,236.099411,57.34
2017-05-10,46.999916,41.313766,11.317928,227.39827,57.720001
2017-05-11,46.244736,41.059769,11.220107,228.675217,57.380001
2017-05-12,45.637302,40.991386,11.083157,228.546539,58.41
2017-05-15,46.483727,41.167233,11.151631,225.913437,59.09
2017-05-16,46.74263,41.245983,11.073375,222.964401,60.470001
2017-05-17,44.731125,40.871914,11.083157,218.7742,57.220001
2017-05-18,44.462261,40.665195,10.936425,217.185486,57.93
2017-05-19,45.029865,40.852226,10.955989,217.582672,57.91
2017-05-22,46.015701,40.852226,11.112503,217.96991,58.32
2017-05-23,46.46381,42.368187,11.122286,219.101868,57.709999
2017-05-24,46.573345,41.885838,11.494006,222.577148,58.25
2017-05-25,47.818092,41.954742,11.523353,222.775742,57.939999
2017-05-26,48.535065,41.787399,11.533135,221.544495,57.700001
