Date,AAL,ADM,AES,AGN,ALKS
2017-02-28,46.360001,46.970001,11.52,244.820007,56.5
2017-03-01,47.09,46.509998,11.35,245.289993,59.709999
2017-03-02,45.720001,45.48,11.63,244.960007,61.16
2017-03-03,46.82,45.200001,11.55,245.630005,60.970001
2017-03-06,45.310001,44.759998,11.52,242.360001,60.200001
2017-03-07,44.84,44.459999,11.33,239.600006,58.799999
2017-03-08,44.889999,43.990002,11.07,239.440002,57.400002
2017-03-09,43.330002,44.419998,11.06,240.179993,57.080002
2017-03-10,43.900002,45.040001,11.15,241.149994,57.220001
2017-03-13,42.369999,44.700001,11.02,240.649994,55.549999
2017-03-14,41.209999,44.669998,11.0,239.449997,55.66
2017-03-15,42.09,45.009998,11.31,240.669998,57.619999
2017-03-16,42.130001,44.849998,11.3,239.419998,58.98
2017-03-17,41.720001,44.720001,11.46,237.380005,59.310001
2017-03-20,41.700001,44.849998,11.2,236.949997,59.68
2017-03-21,40.419998,44.950001,11.3,234.550003,57.360001
2017-03-22,40.349998,45.610001,11.15,233.990005,59.43
2017-03-23,41.41,45.610001,11.18,235.289993,58.68
2017-03-24,41.73,45.580002,11.23,237.330002,58.880001
2017-03-27,41.740002,45.349998,11.13,239.380005,59.349998
2017-03-28,42.599998,45.720001,11.31,240.529999,59.380001
2017-03-29,41.959999,46.240002,11.25,241.339996,59.75
2017-03-30,42.540001,46.110001,11.08,239.800003,58.939999
2017-03-31,42.299999,46.040001,11.18,238.919998,58.5
2017-04-03,42.450001,45.799999,11.19,237.679993,57.419998
2017-04-04,40.900002,45.41,11.27,238.429993,58.75
2017-04-05,41.310001,45.259998,11.16,237.770004,57.720001
2017-04-06,41.720001,45.25,11.16,238.339996,57.540001
2017-04-07,41.810001,44.889999,11.04,238.850006,58.689999
2017-04-10,42.32,44.990002,11.15,240.119995,58.169998
2017-04-11,43.93,44.540001,11.31,239.110001,56.98
2017-04-12,43.959999,44.650002,11.37,237.830002,56.950001
2017-04-13,43.349998,44.279999,11.36,237.830002,57.16
2017-04-17,44.23,44.68,11.43,236.130005,56.84
2017-04-18,43.810001,45.41,11.41,234.380005,55.900002
2017-04-19,44.400002,44.599998,11.37,236.339996,56.450001
2017-04-20,45.220001,44.900002,11.42,237.940002,56.73
2017-04-21,45.150002,44.810001,11.38,236.350006,56.57
2017-04-24,46.439999,45.380001,11.59,236.979996,56.73
2017-04-25,46.610001,45.580002,11.62,238.220001,57.0
2017-04-26,46.400002,45.27,11.45,239.5,57.130001
2017-04-27,43.98,45.779999,11.29,243.050003,56.299999
2017-04-28,42.619999,45.75,11.31,243.860001,58.25
2017-05-01,42.080002,45.73,11.31,245.229996,59.34
2017-05-02,43.869999,41.669998,11.3,245.5,58.509998
2017-05-03,43.919998,41.310001,11.19,243.759995,58.900002
2017-05-04,43.91,42.400002,11.09,245.25,60.41
2017-05-05,44.509998,42.43,11.32,244.940002,59.689999
2017-05-08,44.939999,42.959999,11.31,241.949997,57.200001
2017-05-09,47.080002,42.360001,11.34,238.509995,57.34
2017-05-10,47.299999,42.290001,11.57,229.720001,57.720001
2017-05-11,46.540001,42.029999,11.47,231.009995,57.380001
2017-05-12,45.830002,41.959999,11.33,230.880005,58.41
2017-05-15,46.68,42.139999,11.4,228.220001,59.09
2017-05-16,46.939999,41.900002,11.32,224.550003,60.470001
2017-05-17,44.919998,41.52,11.33,220.330002,57.220001
2017-05-18,44.650002,41.310001,11.18,218.729996,57.93
2017-05-19,45.220001,41.5,11.2,219.130005,57.91
2017-05-22,46.209999,41.5,11.36,219.520004,58.32
2017-05-23,46.66,43.040001,11.37,220.660004,57.709999
2017-05-24,46.77,42.549999,11.75,224.160004,58.25
2017-05-25,48.02,42.619999,11.78,224.360001,57.939999
2017-05-26,48.740002,42.450001,11.79,223.119995,57.700001
2017-05-30,47.959999,42.110001,11.7,222.110001,57.700001
2017-05-31,48.41,41.580002,11.68,223.75,57.759998
2017-06-01,49.049999,41.82,11.95,227.389999,59.549999
2017-06-02,49.52,42.220001,11.91,228.160004,59.380001
2017-06-05,49.740002,41.939999,11.71,228.179993,58.02
2017-06-06,49.740002,41.950001,11.91,228.309998,58.990002
2017-06-07,50.860001,41.91,11.57,228.190002,59.57
2017-06-08,51.43,42.009998,11.56,229.410004,60.310001
2017-06-09,50.27,42.02,11.72,232.360001,61.66
2017-06-12,49.48,42.43,11.75,230.770004,59.470001
2017-06-13,49.450001,42.360001,11.93,230.789993,58.610001
2017-06-14,49.389999,42.049999,11.91,233.039993,59.470001
2017-06-15,49.110001,42.360001,11.92,234.759995,58.330002
2017-06-16,48.790001,42.560001,11.92,235.490005,57.150002
2017-06-19,49.66,42.439999,11.91,237.669998,57.509998
2017-06-20,48.029999,41.48,11.9,238.630005,57.18
2017-06-21,48.43,41.25,11.67,244.389999,57.66
2017-06-22,48.970001,41.029999,11.57,247.110001,58.68
2017-06-23,48.630001,41.16,11.56,246.460007,58.470001
2017-06-26,48.779999,41.299999,11.68,248.910004,58.299999
2017-06-27,48.5,41.0,11.5,246.089996,57.119999
2017-06-28,49.25,41.139999,11.33,246.710007,58.16
2017-06-29,49.619999,40.630001,11.16,244.020004,57.919998
2017-06-30,50.32,41.380001,11.11,243.089996,57.970001
2017-07-03,50.389999,41.459999,11.01,243.979996,58.700001
2017-07-05,51.259998,41.799999,10.87,244.289993,60.450001
2017-07-06,52.049999,41.099998,10.68,241.550003,59.470001
2017-07-07,53.029999,41.240002,10.76,240.690002,59.529999
2017-07-10,52.66,40.810001,10.94,241.169998,58.099998
2017-07-11,51.610001,40.290001,10.93,242.119995,57.419998
2017-07-12,53.799999,40.900002,11.1,245.589996,57.869999
2017-07-13,53.810001,41.380001,11.02,244.130005,58.790001
2017-07-14,54.220001,41.48,11.03,245.850006,58.860001
2017-07-17,53.869999,41.599998,11.12,247.529999,59.66
2017-07-18,53.150002,41.18,11.24,245.729996,58.009998
2017-07-19,52.610001,41.279999,11.32,246.410004,57.619999
2017-07-20,52.34,41.419998,11.37,249.070007,57.529999
2017-07-21,51.91,41.259998,11.42,250.970001,57.73
2017-07-24,51.279999,41.380001,11.32,253.520004,58.630001
2017-07-25,50.610001,41.959999,11.24,254.619995,57.990002
2017-07-26,51.009998,41.709999,11.16,256.149994,57.57
2017-07-27,50.0,41.779999,11.1,254.160004,54.900002
2017-07-28,50.490002,41.779999,10.98,253.009995,55.220001
2017-07-31,50.439999,42.18,11.18,252.330002,54.41
2017-08-01,51.060001,43.299999,11.2,252.199997,54.450001
2017-08-02,50.450001,42.490002,11.05,250.179993,54.040001
2017-08-03,50.549999,42.619999,11.12,250.360001,53.919998
2017-08-04,50.799999,42.59,11.08,242.649994,53.77
2017-08-07,50.580002,42.439999,11.1,241.220001,54.130001
2017-08-08,50.0,42.240002,11.38,239.740005,53.02
2017-08-09,49.400002,42.490002,11.25,237.970001,52.380001
2017-08-10,48.549999,42.119999,11.38,232.199997,51.66
2017-08-11,48.349998,41.259998,11.1,232.880005,51.91
2017-08-14,48.810001,41.950001,11.11,232.639999,51.619999
2017-08-15,48.52,42.049999,11.1,231.139999,51.599998
2017-08-16,48.41,42.150002,11.18,227.990005,51.560001
2017-08-17,46.029999,41.669998,11.01,224.770004,50.919998
2017-08-18,45.549999,41.27,11.07,223.990005,50.900002
2017-08-21,45.709999,41.560001,11.23,222.970001,50.68
2017-08-22,45.41,41.720001,11.35,223.75,50.049999
2017-08-23,43.970001,41.77,11.35,222.270004,50.209999
2017-08-24,42.919998,41.080002,11.4,223.699997,50.490002
2017-08-25,45.25,41.75,11.43,221.809998,50.419998
2017-08-28,44.950001,41.77,11.19,223.940002,50.119999
2017-08-29,44.560001,41.740002,11.17,223.580002,49.16
2017-08-30,44.32,41.860001,11.06,223.860001,49.5
2017-08-31,44.740002,41.32,11.04,229.479996,50.779999
2017-09-01,45.310001,42.200001,11.12,227.729996,49.720001
2017-09-05,43.919998,41.939999,11.09,223.779999,49.540001
2017-09-06,44.310001,42.400002,11.11,223.610001,49.810001
2017-09-07,43.84,42.59,11.15,227.929993,50.360001
2017-09-08,43.599998,42.369999,11.21,233.550003,50.560001
2017-09-11,45.860001,42.790001,11.39,232.380005,52.439999
2017-09-12,46.290001,43.209999,11.24,231.210007,53.389999
2017-09-13,47.0,43.290001,11.23,226.470001,52.290001
2017-09-14,46.189999,43.450001,11.26,223.699997,52.330002
2017-09-15,46.0,43.84,11.35,220.289993,52.02
2017-09-18,45.310001,44.09,11.27,221.539993,52.02
2017-09-19,44.380001,43.889999,11.33,215.0,50.540001
2017-09-20,45.419998,43.32,11.28,210.0,50.66
2017-09-21,46.290001,43.290001,11.13,202.660004,50.34
2017-09-22,47.060001,43.380001,11.11,204.649994,50.369999
2017-09-25,47.700001,43.57,11.21,211.610001,51.779999
2017-09-26,47.580002,43.52,11.16,209.449997,51.459999
2017-09-27,46.849998,43.049999,11.13,208.300003,51.32
2017-09-28,47.490002,42.75,11.08,204.080002,51.82
2017-09-29,47.490002,42.509998,11.02,204.949997,50.84
