,AAL,ADM,AES,AGN,ALKS,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,-0.0135,-0.0135,0.0325,-0.02,-0.0065,0.00377210129458,0.000613642678859,6.14706477325
1,-0.0195,-0.018,0.037,-0.0185,-0.012,0.00417657274877,0.000720703207455,5.79513550872
2,-0.011,-0.0145,0.015,-0.006,-0.0145,0.00291668818747,0.000389135074238,7.49531044763
3,-0.018,-0.0185,0.0175,-0.015,-0.0135,0.00430254574211,0.000585479998738,7.34874931917
4,-0.0145,-0.0085,0.0405,-0.011,-0.008,0.00188680007504,0.000597356124938,3.1585849651
5,-0.0165,-0.015,0.0325,-0.014,-0.02,0.00421366325136,0.000642404854685,6.55920206803
6,-0.0065,-0.0145,0.0435,-0.0135,-0.0145,0.003579338066,0.000618572614121,5.78644767695
7,-0.0155,-0.012,0.0185,-0.0185,-0.014,0.0044269335529,0.000575559366005,7.69153247149
8,-0.0155,-0.0125,0.0335,-0.0175,-0.0095,0.00351718600666,0.000621300721715,5.66100421863
9,-0.0125,-0.0195,0.0465,-0.0085,-0.0195,0.00345635566255,0.000681026674582,5.07521333827
10,-0.0065,-0.008,0.0185,-0.0175,-0.0195,0.00475406632749,0.000496660899372,9.57205677657
11,-0.0085,-0.018,0.01,-0.009,-0.015,0.00390909421151,0.000397777715006,9.82733336747
12,-0.0085,-0.0175,0.016,-0.013,-0.0145,0.00431271533118,0.000451684747814,9.54806499899
13,-0.017,-0.009,0.039,-0.02,-0.006,0.00310902460223,0.000682140787939,4.55774622658
14,-0.0155,-0.0195,0.0105,-0.01,-0.01,0.0034754366627,0.000475865757575,7.30339724465
15,-0.0065,-0.0075,0.0275,-0.017,-0.0095,0.00342788342939,0.000485534543592,7.0600196724
16,-0.012,-0.009,0.0455,-0.0175,-0.017,0.00381188015147,0.00070278285018,5.42398003949
17,-0.0105,-0.0075,0.0405,-0.014,-0.0085,0.00244370394946,0.000587312281491,4.16082555477
18,-0.017,-0.009,0.0145,-0.02,-0.014,0.004468603656,0.000593695492666,7.5267602857
19,-0.0105,-0.018,0.015,-0.0075,-0.0055,0.00254958480372,0.000375940463556,6.78188450267
20,-0.0185,-0.018,0.049,-0.013,-0.016,0.0034650531338,0.000763837124804,4.53637695954
21,-0.019,-0.006,0.0445,-0.013,-0.0105,0.00203004110389,0.000692985080242,2.92941531032
22,-0.013,-0.0155,0.0305,-0.019,-0.006,0.00378621823644,0.000589534455236,6.42238668633
23,-0.0105,-0.0175,0.031,-0.018,-0.013,0.0045520323089,0.000592175811268,7.68696090298
24,-0.018,-0.011,0.013,-0.012,-0.0115,0.00312388554242,0.000503456673947,6.2048746279
25,-0.0115,-0.014,0.042,-0.02,-0.0125,0.00425456722071,0.000685853272869,6.20331984844
26,-0.0155,-0.019,0.0385,-0.0165,-0.007,0.00352172765457,0.000657726741687,5.35439329339
27,-0.012,-0.0185,0.0435,-0.014,-0.006,0.00297312926345,0.000642442044902,4.62785598645
28,-0.018,-0.011,0.0175,-0.013,-0.007,0.00272829734618,0.00050944653959,5.35541442362
29,-0.018,-0.009,0.032,-0.009,-0.009,0.0018053599586,0.000554994816267,3.25293120887
30,-0.0145,-0.008,0.039,-0.018,-0.0155,0.00373588745106,0.000669214847062,5.58249337632
31,-0.0125,-0.019,0.0275,-0.014,-0.015,0.00426541505863,0.000563292294521,7.57229434898
32,-0.02,-0.02,0.022,-0.0115,-0.015,0.00386244666022,0.000605364498398,6.38036533433
33,-0.017,-0.0065,0.0145,-0.01,-0.012,0.00248842215512,0.000461598888912,5.39087553046
34,-0.0185,-0.0115,0.0495,-0.0125,-0.0165,0.0028982635454,0.000751915551128,3.85450672094
35,-0.0085,-0.0195,0.0295,-0.019,-0.019,0.00556435849048,0.000615638324474,9.03835623819
36,-0.0095,-0.02,0.048,-0.0135,-0.014,0.00378634620372,0.000688641548914,5.49828311942
