,ALGN,CELG,FB,MRK,MSFT,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.18,0.05,0.18,0.12,0.11,0.36,-0.08501336030654454,0.016978504711522385,-5.007117043048591
1,0.1,0.58,0.17,0.03,0.08,0.04,-0.08833507222541565,0.01878743458140985,-4.701816623373535
2,0.21,0.09,0.03,0.24,0.24,0.19,-0.007103256419271606,0.01497807657025644,-0.4742435643156811
3,0.23,0.39,0.24,0.01,0.06,0.07,-0.05529938406060283,0.018511216888243497,-2.9873446135096366
4,0.06,0.03,0.06,0.24,0.08,0.53,-0.14121144299333033,0.01613121469445949,-8.75392496275135
5,0.28,0.18,0.01,0.15,0.01,0.37,-0.08363194812683572,0.016553476010120166,-5.052228793258064
6,0.55,0.09,0.03,0.07,0.18,0.08,0.07307790631929595,0.01829899777373181,3.9935469266081447
7,0.06,0.07,0.01,0.08,0.2,0.58,-0.1500629490079668,0.017138814473845368,-8.75573682397752
8,0.21,0.19,0.24,0.08,0.18,0.1,-0.024457934072249606,0.017134672917681674,-1.4273942776585415
9,0.1,0.1,0.45,0.02,0.22,0.11,-0.04945142558142937,0.01925614602804841,-2.56808530166933
10,0.46,0.05,0.04,0.14,0.28,0.03,0.08871465989831481,0.016835875943044927,5.269381896043475
11,0.06,0.1,0.23,0.2,0.18,0.23,-0.07070237761415296,0.01646208120176136,-4.294862645106389
12,0.21,0.29,0.21,0.03,0.07,0.19,-0.07475654143555949,0.0178937532729216,-4.177801062490766
13,0.06,0.15,0.05,0.31,0.28,0.15,-0.026158657688602392,0.014750238876450565,-1.7734395969929606
14,0.14,0.14,0.18,0.27,0.02,0.25,-0.07772259197976944,0.015881566524061256,-4.893887001764994
15,0.08,0.02,0.06,0.08,0.55,0.21,-0.0021494023138389218,0.017091916729079865,-0.12575548710590015
16,0.01,0.19,0.02,0.33,0.17,0.28,-0.08594393367697847,0.014770709586123957,-5.818537909493309
17,0.22,0.06,0.14,0.2,0.32,0.06,0.033774772201447464,0.015631276703278088,2.160717441228869
18,0.32,0.07,0.03,0.14,0.17,0.27,-0.017988011101358947,0.016245298022352403,-1.1072749220487486
19,0.11,0.04,0.33,0.02,0.46,0.04,0.015308151927803736,0.018389528364211524,0.8324385283091568
20,0.1,0.11,0.13,0.07,0.5,0.09,0.011653454004606364,0.017008722795476168,0.6851457422603094
21,0.04,0.08,0.22,0.26,0.18,0.22,-0.06575021449317958,0.01608841804950058,-4.086804202307548
22,0.11,0.1,0.2,0.02,0.5,0.07,0.013098310709106158,0.01769360989613103,0.7402848138960212
23,0.29,0.29,0.04,0.09,0.16,0.13,-0.01809117122616099,0.016574459585599464,-1.0915089649064216
24,0.02,0.26,0.06,0.12,0.06,0.48,-0.1727254700448592,0.017002670039963468,-10.15872622587401
25,0.31,0.1,0.33,0.23,0.02,0.01,0.012980653197406525,0.017272944433741222,0.7515020526581402
26,0.13,0.06,0.02,0.54,0.21,0.04,0.03345247945473356,0.013826479823710052,2.419450205783273
27,0.06,0.12,0.08,0.48,0.2,0.06,-0.0012277842464674359,0.014205565488219074,-0.08642980439502101
28,0.27,0.12,0.02,0.23,0.09,0.27,-0.03834693010865794,0.015488487346986187,-2.475834421372313
29,0.15,0.02,0.1,0.15,0.03,0.55,-0.14088872810172132,0.017127994419438054,-8.22564070559428
30,0.09,0.05,0.2,0.12,0.05,0.49,-0.14594679819327727,0.017656341728977263,-8.26597040505577
31,0.2,0.18,0.29,0.09,0.05,0.19,-0.06761504223656847,0.01777021611083798,-3.804964543753092
32,0.09,0.16,0.31,0.1,0.07,0.27,-0.10648960523627347,0.017960331325316506,-5.929155944142743
33,0.14,0.13,0.1,0.19,0.37,0.07,0.014834460979733934,0.015584451335458556,0.951875729239296
34,0.56,0.05,0.18,0.02,0.1,0.09,0.05540442963192643,0.01940665608330821,2.8549189202966367
35,0.05,0.26,0.19,0.42,0.04,0.04,-0.04463141573995512,0.015305636466905964,-2.9160117474668703
36,0.03,0.03,0.24,0.29,0.18,0.23,-0.06395375689397738,0.016180648195546838,-3.952484234320009
37,0.04,0.44,0.09,0.18,0.03,0.22,-0.12403958850399659,0.016731699909629003,-7.41344807604471
38,0.33,0.03,0.04,0.36,0.19,0.05,0.06079558124603534,0.014865493481550831,4.089711607723425
39,0.28,0.05,0.32,0.07,0.04,0.24,-0.05336881958773233,0.018408992841577994,-2.899062433616419
40,0.05,0.28,0.12,0.08,0.27,0.2,-0.07512384253752441,0.01686289189901169,-4.454979785639693
41,0.02,0.4,0.21,0.13,0.03,0.21,-0.13068202267609305,0.017702213400827053,-7.382241966984058
42,0.05,0.1,0.23,0.37,0.18,0.07,-0.02116091014766709,0.01547135113573413,-1.3677480371311463
43,0.25,0.04,0.44,0.13,0.07,0.07,-0.01365258273565432,0.018524618550193245,-0.7369966997518499
