,HSBC,GOOGL,INTC,LPX,BP,RTN,LMT,MASI,THO,FB,AOS,T,GOLD,MRK,JNJ,EVR,CELG,MSFT,LRCX
HSBC,1.0,0.452131472001,0.377131058392,0.234477111795,-0.0112588625408,0.294681683157,0.525914419688,0.206561414731,0.246878457268,0.475531462719,0.732986885495,0.542359059988,0.0358609784026,0.499682881852,0.304228912506,0.716394889176,0.463808551651,0.478384887838,0.538849351922
GOOGL,0.452131472001,1.0,0.305431457712,0.280408958884,0.13623343975,0.327800664352,0.430735103558,0.279333132235,0.157866647278,0.760318075634,0.605126541192,0.287458826574,0.196669877884,0.407007765073,0.458298013064,0.332575173815,0.723062643736,0.800306390237,0.739704530435
INTC,0.377131058392,0.305431457712,1.0,0.270150305694,0.427823977937,-0.00974145810457,0.254064693143,0.357746799053,0.444833528334,0.585495035399,0.377465125729,0.335764813562,0.0897976154162,0.663702737445,0.393322039407,0.343711644127,0.479342272983,0.408636876347,0.2951670011
LPX,0.234477111795,0.280408958884,0.270150305694,1.0,0.290146206326,0.0416399934836,0.155903654718,0.258235317812,0.20929168902,0.385843694791,0.250633123431,-0.204293774716,0.291952317184,0.349278870624,0.261789185263,0.0823336932729,0.624296759849,0.248600383968,0.319997470216
BP,-0.0112588625408,0.13623343975,0.427823977937,0.290146206326,1.0,-0.126421649468,-0.173177100121,-0.311180637309,0.0455360935147,0.181203442483,0.163433237502,-0.0301545480455,-0.372888711172,0.324137047209,0.238865912631,0.0433442418239,0.302010201052,0.187854641578,0.104573221517
RTN,0.294681683157,0.327800664352,-0.00974145810457,0.0416399934836,-0.126421649468,1.0,0.739998569581,0.225819213326,0.0629753275501,0.242899048055,0.353717423029,0.185060407916,0.441553983869,0.207419092398,0.290622747301,-0.138622214638,0.396706130481,0.384451996665,0.281684838881
LMT,0.525914419688,0.430735103558,0.254064693143,0.155903654718,-0.173177100121,0.739998569581,1.0,0.311895875046,0.240120089586,0.494390236914,0.457356203439,0.298939441402,0.447414769611,0.468488815808,0.518192043997,0.178481627271,0.499690335537,0.534369708919,0.427467080987
MASI,0.206561414731,0.279333132235,0.357746799053,0.258235317812,-0.311180637309,0.225819213326,0.311895875046,1.0,0.129162911546,0.457956953309,0.398674808971,0.0697675758143,0.370859253021,0.414433075635,0.342133806378,0.00453332935605,0.40821388717,0.253901728675,0.256946970131
THO,0.246878457268,0.157866647278,0.444833528334,0.20929168902,0.0455360935147,0.0629753275501,0.240120089586,0.129162911546,1.0,0.365830354737,0.31624575459,0.478234736122,0.286654498536,0.439214578517,0.0347433695413,0.255222493484,0.466219806707,0.286741936121,0.263663187086
FB,0.475531462719,0.760318075634,0.585495035399,0.385843694791,0.181203442483,0.242899048055,0.494390236914,0.457956953309,0.365830354737,1.0,0.584696700272,0.188701666733,0.239432420869,0.572595350203,0.584208717567,0.365168938286,0.752881300808,0.753770319751,0.716857149965
AOS,0.732986885495,0.605126541192,0.377465125729,0.250633123431,0.163433237502,0.353717423029,0.457356203439,0.398674808971,0.31624575459,0.584696700272,1.0,0.426107097444,0.0369821724776,0.554296021303,0.400888119343,0.343962989428,0.553363732031,0.666111883036,0.638836609605
T,0.542359059988,0.287458826574,0.335764813562,-0.204293774716,-0.0301545480455,0.185060407916,0.298939441402,0.0697675758143,0.478234736122,0.188701666733,0.426107097444,1.0,0.0313524260375,0.366226901631,0.0453887866519,0.546820222803,0.217899527416,0.247442696544,0.224066793551
GOLD,0.0358609784026,0.196669877884,0.0897976154162,0.291952317184,-0.372888711172,0.441553983869,0.447414769611,0.370859253021,0.286654498536,0.239432420869,0.0369821724776,0.0313524260375,1.0,0.0871713036901,0.0776850374989,-0.0931696450478,0.356643701777,0.289680177355,0.183350172523
MRK,0.499682881852,0.407007765073,0.663702737445,0.349278870624,0.324137047209,0.207419092398,0.468488815808,0.414433075635,0.439214578517,0.572595350203,0.554296021303,0.366226901631,0.0871713036901,1.0,0.721310088952,0.37060757024,0.677802140043,0.575978262771,0.354559746728
JNJ,0.304228912506,0.458298013064,0.393322039407,0.261789185263,0.238865912631,0.290622747301,0.518192043997,0.342133806378,0.0347433695413,0.584208717567,0.400888119343,0.0453887866519,0.0776850374989,0.721310088952,1.0,0.230211491053,0.503372553846,0.624638302406,0.550020028207
EVR,0.716394889176,0.332575173815,0.343711644127,0.0823336932729,0.0433442418239,-0.138622214638,0.178481627271,0.00453332935605,0.255222493484,0.365168938286,0.343962989428,0.546820222803,-0.0931696450478,0.37060757024,0.230211491053,1.0,0.334026432937,0.302195179119,0.462029514108
CELG,0.463808551651,0.723062643736,0.479342272983,0.624296759849,0.302010201052,0.396706130481,0.499690335537,0.40821388717,0.466219806707,0.752881300808,0.553363732031,0.217899527416,0.356643701777,0.677802140043,0.503372553846,0.334026432937,1.0,0.712175841683,0.604125321766
MSFT,0.478384887838,0.800306390237,0.408636876347,0.248600383968,0.187854641578,0.384451996665,0.534369708919,0.253901728675,0.286741936121,0.753770319751,0.666111883036,0.247442696544,0.289680177355,0.575978262771,0.624638302406,0.302195179119,0.712175841683,1.0,0.734356947241
LRCX,0.538849351922,0.739704530435,0.2951670011,0.319997470216,0.104573221517,0.281684838881,0.427467080987,0.256946970131,0.263663187086,0.716857149965,0.638836609605,0.224066793551,0.183350172523,0.354559746728,0.550020028207,0.462029514108,0.604125321766,0.734356947241,1.0
