,HSBC,GOOGL,INTC,LPX,BP,RTN,LMT,MASI,THO,FB,AOS,T,GOLD,MRK,JNJ,EVR,CELG,MSFT,LRCX
HSBC,0.538174883074,0.288096203983,0.270562971756,0.284376296304,-0.00473948846936,0.174041501871,0.280181649809,0.212915573849,0.272127177281,0.321878337185,0.470313096084,0.384115214412,0.06803136304,0.264463328406,0.180758478625,0.741938317053,0.434783103141,0.292378304917,0.650086796694
GOOGL,0.288096203983,0.754435593554,0.259441351309,0.402656018616,0.0679000429073,0.229223364271,0.271696628222,0.340902395931,0.206029059483,0.609336481249,0.459712636543,0.241045834513,0.441747660817,0.255048665285,0.3224003756,0.407806854086,0.802526169386,0.579126381275,1.05660249451
INTC,0.270562971756,0.259441351309,0.956376058865,0.436768225558,0.240079297147,-0.00766966302143,0.180435322924,0.491571416435,0.653640375964,0.528309408261,0.322864530108,0.317002310629,0.227093381647,0.468270966877,0.31152945122,0.474528392017,0.599007516801,0.332933796567,0.474705669848
LPX,0.284376296304,0.402656018616,0.436768225558,2.73314360051,0.275247487432,0.0554217003635,0.187176110455,0.5998509918,0.519888507815,0.588563618113,0.362408893454,-0.326061299915,1.24815487444,0.416593811783,0.350525329694,0.192159752833,1.31884725431,0.342404134214,0.87000157384
BP,-0.00473948846936,0.0679000429073,0.240079297147,0.275247487432,0.329268725885,-0.05840293354,-0.0721653299613,-0.250890562317,0.0392606984358,0.095938398751,0.0820247245338,-0.0167047877854,-0.553324375778,0.134187848085,0.111010970527,0.0351123794689,0.221446615699,0.0898055446934,0.0986820123075
RTN,0.174041501871,0.229223364271,-0.00766966302143,0.0554217003635,-0.05840293354,0.648150612777,0.432645056061,0.255443805492,0.0761790254467,0.180432414475,0.249071235722,0.143834934745,0.919278495582,0.120474733098,0.18949774736,-0.157552177551,0.408111726066,0.257861240886,0.3729440723
LMT,0.280181649809,0.271696628222,0.180435322924,0.187176110455,-0.0721653299613,0.432645056061,0.527382596581,0.318250464012,0.262010323423,0.331271109974,0.290500327462,0.209584428775,0.840230687316,0.245454726768,0.304782563598,0.182982696444,0.463698873046,0.323303725038,0.510514216757
MASI,0.212915573849,0.340902395931,0.491571416435,0.5998509918,-0.250890562317,0.255443805492,0.318250464012,1.97420857882,0.272685065485,0.593706706587,0.489941770538,0.0946374539642,1.34750678941,0.420107274274,0.389339965727,0.00899222984587,0.732919853117,0.297213241746,0.593720830777
THO,0.272127177281,0.206029059483,0.653640375964,0.519888507815,0.0392606984358,0.0761790254467,0.262010323423,0.272685065485,2.25763650523,0.507174637632,0.415605100342,0.693714902962,1.11380995837,0.476116279868,0.042280043444,0.54137670676,0.895137853398,0.358941937126,0.651506533019
FB,0.321878337185,0.609336481249,0.528309408261,0.588563618113,0.095938398751,0.180432414475,0.331271109974,0.593706706587,0.507174637632,0.851337100455,0.471857190999,0.16808904652,0.571293209591,0.381160486167,0.436571411601,0.475661737491,0.88766579285,0.579423082568,1.08774142773
AOS,0.470313096084,0.459712636543,0.322864530108,0.362408893454,0.0820247245338,0.249071235722,0.290500327462,0.489941770538,0.415605100342,0.471857190999,0.764994495508,0.359799719754,0.0836463317951,0.349768094984,0.283980696927,0.4247119483,0.618460603993,0.485380490144,0.918885121251
T,0.384115214412,0.241045834513,0.317002310629,-0.326061299915,-0.0167047877854,0.143834934745,0.209584428775,0.0946374539642,0.693714902962,0.16808904652,0.359799719754,0.932021208728,0.0782725305865,0.255077654897,0.0354893422688,0.745265597745,0.268807498484,0.199018531266,0.355739970775
GOLD,0.06803136304,0.441747660817,0.227093381647,1.24815487444,-0.553324375778,0.919278495582,0.840230687316,1.34750678941,1.11380995837,0.571293209591,0.0836463317951,0.0782725305865,6.68729760236,0.162632800989,0.162704357768,-0.340136607299,1.17850675945,0.624094108248,0.779738389158
MRK,0.264463328406,0.255048665285,0.468270966877,0.416593811783,0.134187848085,0.120474733098,0.245454726768,0.420107274274,0.476116279868,0.381160486167,0.349768094984,0.255077654897,0.162632800989,0.5204973833,0.421471062226,0.377465419126,0.624862417102,0.346195444153,0.420669448269
JNJ,0.180758478625,0.3224003756,0.31152945122,0.350525329694,0.111010970527,0.18949774736,0.304782563598,0.389339965727,0.042280043444,0.436571411601,0.283980696927,0.0354893422688,0.162704357768,0.421471062226,0.655953357901,0.263218910187,0.520952594653,0.42147427344,0.732583700985
EVR,0.741938317053,0.407806854086,0.474528392017,0.192159752833,0.0351123794689,-0.157552177551,0.182982696444,0.00899222984587,0.54137670676,0.475661737491,0.4247119483,0.745265597745,-0.340136607299,0.377465419126,0.263218910187,1.99299963089,0.602568796473,0.355424303024,1.07266867
CELG,0.434783103141,0.802526169386,0.599007516801,1.31884725431,0.221446615699,0.408111726066,0.463698873046,0.732919853117,0.895137853398,0.88766579285,0.618460603993,0.268807498484,1.17850675945,0.624862417102,0.520952594653,0.602568796473,1.63284284268,0.758167930649,1.26952571171
MSFT,0.292378304917,0.579126381275,0.332933796567,0.342404134214,0.0898055446934,0.257861240886,0.323303725038,0.297213241746,0.358941937126,0.579423082568,0.485380490144,0.199018531266,0.624094108248,0.346195444153,0.42147427344,0.355424303024,0.758167930649,0.694083881471,1.00613314329
LRCX,0.650086796694,1.05660249451,0.474705669848,0.87000157384,0.0986820123075,0.3729440723,0.510514216757,0.593720830777,0.651506533019,1.08774142773,0.918885121251,0.355739970775,0.779738389158,0.420669448269,0.732583700985,1.07266867,1.26952571171,1.00613314329,2.7044847463
